language,gender,task,langtask,speaker,scenario,condition1,condition2,dur,f0mnhz,f0mdhz,f0sdhz,f0mihz,f0mahz,f0rghz,f0mnvst,f0mdvst,f0sdvst,f0mivst,f0mavst,f0rgvst,inmn,inmd,inrange,jitloc,jitrap,jitppq5,periodsd,shimloc,shimapq11,shimapq3,h1mh2mn,slopen0114,slopen5228,mnHNR,mnNHR,jitlocvr,jitrapvr,shimlocvr,shimapq3vr
Japanese,F,epr,epr_jpn,11,1,pol,polite,7.547,232.2,234.9,36.9,99,333.1,234,94.03,94.51,3.34,-0.16,20.83,21,65.8,62.9,37.5,0.0106,0.00328,0.00461,0.0016,0.07243,0.06521,0.0289,1.6,-20.7,-22.5,15.2,0.1409,0.0106,0.00328,0.07243,0.0289
Japanese,F,epr,epr_jpn,11,2,cas,casual,5.687,239.3,240.3,19.2,194.5,304.4,109.9,94.78,94.91,1.38,11.52,19.27,7.75,65.6,62.2,34.4,0.00821,0.00231,0.00454,0.0007,0.08451,0.08707,0.03063,4.23,-15.9,-20.5,15.6,0.0963,0.00821,0.00231,0.08451,0.03063
Japanese,F,epr,epr_jpn,11,2,pol,polite,6.906,247.3,252.3,24.3,201.2,311,109.8,95.32,95.75,1.72,12.1,19.62,7.52,66.4,62,36.9,0.00868,0.00224,0.00427,0.0006,0.07932,0.06387,0.02578,4.67,-20.2,-21.9,15.9,0.1109,0.00868,0.00224,0.07932,0.02578
Japanese,F,epr,epr_jpn,11,3,cas,casual,6.669,231,229.9,28.7,96.3,296.2,199.9,94.06,94.14,2.52,-0.65,18.79,19.44,65.1,63.5,30.7,0.00677,0.00204,0.00365,0.0006,0.08416,0.07745,0.03117,5.61,-20.6,-19.7,16.6,0.0813,0.00677,0.00204,0.08416,0.03117
Japanese,F,epr,epr_jpn,11,3,pol,polite,8.105,221.9,235,54.3,104.1,316.5,212.5,92.84,94.52,5.23,0.69,19.95,19.26,65.5,62.8,34.5,0.01028,0.00318,0.00494,0.0016,0.09667,0.0821,0.04021,-0.95,-20.1,-20.3,14.4,0.1264,0.01028,0.00318,0.09648,0.04005
Japanese,F,epr,epr_jpn,11,4,cas,casual,7.955,221.7,234.7,61.6,97,322,225,92.6,94.5,6.08,-0.52,20.21,20.74,66.1,63.2,36.1,0.0113,0.00384,0.00579,0.0017,0.09119,0.08431,0.03554,1.37,-20.3,-20.8,14.8,0.1127,0.0113,0.00384,0.09119,0.03554
Japanese,F,epr,epr_jpn,11,4,pol,polite,9.324,232.7,242.4,47.3,98.9,331.2,232.3,92.2,93.7,4.59,-0.18,20.73,20.91,66.3,63.1,35.2,0.00929,0.00285,0.00492,0.0011,0.09067,0.08605,0.03174,4.4,-19.7,-21,15.5,0.1022,0.00929,0.00285,0.09067,0.03174
Japanese,F,epr,epr_jpn,11,5,cas,casual,7.883,229,236.2,43.6,103,320.5,217.4,93.65,94.6,4.15,0.52,20.16,19.64,65.9,64.2,35.1,0.01026,0.00308,0.00481,0.0016,0.08814,0.09052,0.03209,-0.04,-20.2,-19.9,15.3,0.1015,0.01026,0.00308,0.08814,0.03209
Japanese,F,epr,epr_jpn,11,5,pol,polite,8.175,247.6,250.3,29.8,106.4,316.2,209.8,95.27,95.61,2.46,1.07,19.93,18.86,66.2,64.1,36.4,0.01001,0.00294,0.00496,0.0008,0.085,0.083,0.03149,4.74,-19.7,-21.1,15.7,0.1098,0.01001,0.00294,0.085,0.03149
Japanese,F,epr,epr_jpn,11,6,cas,casual,6.576,229.7,230.6,33,96.3,303.3,207,93.88,94.19,3.21,-0.63,19.21,19.84,69.5,66.5,35.4,0.01153,0.00324,0.00481,0.0011,0.09166,0.09224,0.03469,0.41,-17,-23.9,15.2,0.1111,0.01153,0.00324,0.09175,0.03474
Japanese,F,epr,epr_jpn,11,6,pol,polite,8.268,242.2,231.6,28.3,199.4,363,163.5,94.93,94.26,1.93,11.95,22.31,10.36,69.1,65.6,38.8,0.00758,0.00168,0.00352,0.0005,0.07719,0.07567,0.02289,3.37,-15.4,-23.3,16.9,0.0842,0.00758,0.00168,0.07719,0.02289
Japanese,F,epr,epr_jpn,11,7,cas,casual,6.608,229.5,229.9,28.8,97.5,300,202.5,93.93,94.14,2.74,-0.44,19.02,19.46,67,64.9,33.4,0.00852,0.00254,0.00457,0.0007,0.08687,0.07329,0.03418,1.2,-19.6,-20.5,15.5,0.0973,0.00852,0.00254,0.08687,0.03418
Japanese,F,epr,epr_jpn,11,7,pol,polite,8.292,220,228.5,41.5,102,294.8,192.8,92.95,94.03,4.18,0.34,18.72,18.37,65.6,63.2,33.2,0.00953,0.00299,0.00508,0.0007,0.09394,0.08598,0.03611,6.43,-18.2,-19.3,15.7,0.0982,0.00953,0.00299,0.09371,0.03567
Japanese,F,epr,epr_jpn,11,8,cas,casual,8.046,241,239,24.8,197.6,313.7,116.1,94.87,94.81,1.75,11.79,19.79,8,68.1,65.1,39.2,0.008,0.00226,0.00424,0.0004,0.07734,0.07521,0.02424,4.78,-15.7,-22.5,16.6,0.0854,0.008,0.00226,0.07737,0.02423
Japanese,F,epr,epr_jpn,11,8,pol,polite,9.483,235.4,239.7,42.6,99,326.1,227.1,94.17,94.86,3.93,-0.14,20.46,20.6,68.7,64.8,36.9,0.00894,0.00265,0.00467,0.0009,0.08243,0.06795,0.02763,3.54,-16.5,-23.1,16,0.1024,0.00894,0.00265,0.08243,0.02763
Japanese,F,epr,epr_jpn,11,9,cas,casual,7.812,233.5,240.9,37.5,94.6,297.4,202.9,94.09,94.95,3.65,-0.97,18.87,19.84,65.9,63.1,36.7,0.00995,0.0029,0.00539,0.0014,0.08278,0.07351,0.03091,2.54,-17.3,-21.5,15.4,0.1237,0.00995,0.0029,0.08278,0.03091
Japanese,F,epr,epr_jpn,11,9,pol,polite,8.289,228.7,238.6,54.1,100.1,325.9,225.8,93.38,94.78,5.26,0.01,20.45,20.44,66.3,62.4,37.6,0.00946,0.0026,0.00439,0.0016,0.07937,0.06345,0.02859,0.73,-20,-22.5,14.9,0.1216,0.00946,0.0026,0.07923,0.02857
Japanese,F,epr,epr_jpn,13,10,cas,casual,5.191,226,228.2,24.5,181.3,297.1,115.8,93.74,94.01,1.89,10.3,18.85,8.55,73.5,69.4,45.3,0.01084,0.00311,0.00536,0.0006,0.07045,0.05577,0.0228,6.02,-16.5,-18,18,0.0702,0.01084,0.00311,0.07045,0.0228
Japanese,F,epr,epr_jpn,13,10,pol,polite,7.042,237.7,242.7,28.1,178.8,299.3,120.5,94.59,95.07,2.1,10.07,18.97,8.9,74.4,66.9,47.4,0.01065,0.00278,0.00534,0.0006,0.07159,0.07229,0.02156,8.97,-19.5,-20.3,18,0.0793,0.01065,0.00278,0.07159,0.02156
Japanese,F,epr,epr_jpn,13,1,cas,casual,6.107,221.3,219.2,28,172.5,305.2,132.6,93.35,93.31,2.12,9.44,19.31,9.87,73.2,69.1,43.2,0.01004,0.00281,0.00544,0.0006,0.08018,0.06217,0.02872,12.66,-20,-17.8,18.5,0.0748,0.01004,0.00281,0.08018,0.02872
Japanese,F,epr,epr_jpn,13,1,pol,polite,6.772,222,223.1,33.6,87.6,313.9,226.3,93.31,93.62,2.94,-2.28,19.8,22.08,74.1,69,43.2,0.01196,0.00321,0.00624,0.0007,0.06712,0.06093,0.02021,9.01,-22.2,-21.8,18.6,0.0948,0.01196,0.00321,0.06712,0.02021
Japanese,F,epr,epr_jpn,13,2,cas,casual,6.433,224.3,229.9,24.7,171.6,287.8,116.2,93.6,94.14,1.94,9.34,18.3,8.95,72.7,66.6,44.2,0.00921,0.00222,0.00418,0.0006,0.08046,0.07918,0.02361,6.51,-19.7,-21,18.8,0.0742,0.00921,0.00222,0.08046,0.02361
Japanese,F,epr,epr_jpn,13,2,pol,polite,7.138,225.9,231.9,24.8,177.1,276.6,99.6,93.72,94.29,1.96,9.89,17.62,7.72,73.3,67.8,43.5,0.0113,0.00307,0.00559,0.0007,0.07352,0.07389,0.02176,7.56,-21.1,-18.3,18.4,0.0932,0.0113,0.00307,0.07352,0.02176
Japanese,F,epr,epr_jpn,13,3,cas,casual,6.409,224,212.3,32.5,163.5,301.9,138.5,93.51,92.76,2.44,8.51,19.13,10.62,73.4,69,43.9,0.00946,0.00243,0.0046,0.0007,0.06734,0.06361,0.02285,8.89,-21.1,-20.6,18.8,0.0786,0.00946,0.00243,0.06734,0.02285
Japanese,F,epr,epr_jpn,13,3,pol,polite,7.512,225.2,221.3,31.7,168.5,322.1,153.6,93.61,93.48,2.39,9.04,20.25,11.21,74.2,69.3,38.4,0.00993,0.00248,0.00426,0.0007,0.07194,0.06873,0.02112,6.73,-20.9,-20.1,18.5,0.0713,0.00993,0.00248,0.07194,0.02112
Japanese,F,epr,epr_jpn,13,4,cas,casual,8.083,224.4,219.1,27.3,173.1,280.9,107.8,93.59,93.31,2.1,9.5,17.88,8.38,73.8,70.1,42.8,0.00921,0.00254,0.00498,0.0006,0.06303,0.055,0.01886,7.43,-21.3,-20.7,20,0.0675,0.00921,0.00254,0.06303,0.01886
Japanese,F,epr,epr_jpn,13,4,pol,polite,9.82,226.4,230.6,37.1,86.7,311,224.3,93.59,94.19,3.37,-2.47,19.64,22.11,72.6,67.3,41.4,0.01097,0.00299,0.00516,0.001,0.07198,0.06229,0.02337,6.39,-20.9,-20.5,17.8,0.0878,0.01097,0.00299,0.07198,0.02337
Japanese,F,epr,epr_jpn,13,5,cas,casual,7.716,231.5,232.5,36.9,91,300.6,209.7,93.96,94.33,3.5,-1.64,18.97,20.61,74.2,70.6,43.9,0.00935,0.00272,0.00449,0.0011,0.06476,0.06044,0.0215,4.6,-21,-21.9,20.9,0.0738,0.00935,0.00272,0.06476,0.0215
Japanese,F,epr,epr_jpn,13,5,pol,polite,7.92,232.9,233.5,30.6,168,300.4,132.4,94.21,94.41,2.31,8.98,19.03,10.05,74.5,70,40.1,0.01021,0.00287,0.00494,0.0012,0.06084,0.0582,0.02029,8.18,-22,-17,19.9,0.0787,0.01021,0.00287,0.06084,0.02029
Japanese,F,epr,epr_jpn,13,6,cas,casual,5.941,221.9,218.8,24.8,169.4,290.3,120.9,93.42,93.28,1.91,9.13,18.45,9.32,72.5,68.8,44.1,0.01023,0.00272,0.00519,0.0005,0.06675,0.06094,0.02328,4.62,-18.9,-19.8,17.6,0.0899,0.01023,0.00272,0.06684,0.02328
Japanese,F,epr,epr_jpn,13,6,pol,polite,7.583,225.4,223.8,33.8,93.6,300.7,207.1,93.56,93.67,2.98,-1.13,19.06,20.2,74,67.8,45.2,0.01129,0.00311,0.00601,0.0006,0.06988,0.06454,0.02251,7.83,-20.9,-19,17.9,0.0928,0.01129,0.00311,0.06988,0.02251
Japanese,F,epr,epr_jpn,13,7,cas,casual,7.04,216.7,223.1,34,91.6,287.5,195.8,92.82,93.62,3.55,-1.51,18.26,19.76,72.6,68.9,41.4,0.00896,0.00247,0.00432,0.0013,0.07108,0.06214,0.02476,0.77,-18.8,-18.7,17.6,0.0776,0.00896,0.00247,0.07099,0.02476
Japanese,F,epr,epr_jpn,13,7,pol,polite,7.14,225.8,229.5,26.7,93.2,300.4,207.2,93.68,94.11,2.39,-1.22,19.04,20.26,72.7,69.7,39.1,0.01169,0.00314,0.00548,0.0008,0.07648,0.06701,0.02407,5.73,-20.4,-19.2,18.1,0.0974,0.01169,0.00314,0.07648,0.02407
Japanese,F,epr,epr_jpn,13,8,cas,casual,8.296,223.2,222.8,28.6,174.9,293,118.1,93.48,93.59,2.21,9.72,18.61,8.88,73.2,68.3,43.8,0.01083,0.00303,0.00596,0.0006,0.07294,0.06329,0.02255,6.61,-19.1,-21.9,18.5,0.0988,0.01083,0.00303,0.07278,0.02246
Japanese,F,epr,epr_jpn,13,8,pol,polite,9.165,220.9,222.9,35.9,90.4,291,200.6,93.16,93.61,3.33,-1.75,18.49,20.24,73.4,68.6,40.8,0.01098,0.00303,0.00537,0.001,0.06977,0.06337,0.02156,7.78,-19.9,-22.4,18.4,0.0993,0.01098,0.00303,0.06977,0.02156
Japanese,F,epr,epr_jpn,13,9,cas,casual,7.405,227.7,230.2,27,171.6,289.5,117.9,93.85,94.16,2.09,9.34,18.4,9.06,73.1,68.3,42.1,0.00842,0.00199,0.00384,0.0007,0.06309,0.0563,0.0199,7.6,-21.3,-20.7,19.9,0.07,0.00842,0.00199,0.06309,0.0199
Japanese,F,epr,epr_jpn,13,9,pol,polite,6.833,228.3,233.7,29.1,164.5,314,149.5,93.87,94.42,2.24,8.62,19.81,11.19,72.6,69,41.2,0.00959,0.00238,0.00353,0.0007,0.0669,0.06403,0.01993,6.65,-21.9,-21.5,19,0.0731,0.00959,0.00238,0.0669,0.01993
Japanese,F,epr,epr_jpn,2,10,cas,casual,4.874,243.6,248.9,42.5,94.5,347,252.4,94.8,95.51,3.72,-0.97,21.54,22.51,68.6,63.9,41.1,0.01088,0.00309,0.00542,0.0007,0.09299,0.08265,0.03042,2.41,-14,-21,14,0.1374,0.01088,0.00309,0.09299,0.03042
Japanese,F,epr,epr_jpn,2,10,pol,polite,6.111,254.4,260.8,36.6,173.9,327,153.2,95.71,96.32,2.57,9.58,20.51,10.94,68.3,64.7,38,0.01109,0.00247,0.00493,0.0006,0.09161,0.08713,0.02747,5.02,-16.4,-22.5,15.3,0.1155,0.01109,0.00247,0.09161,0.02747
Japanese,F,epr,epr_jpn,2,1,cas,casual,5.65,224.9,223,39.1,161.4,323.8,162.4,93.5,93.61,2.96,8.3,20.34,12.04,68.1,65,36.9,0.00899,0.00194,0.0034,0.0009,0.08035,0.0896,0.0254,4.25,-15.5,-23.9,17.1,0.0781,0.00899,0.00194,0.08035,0.0254
Japanese,F,epr,epr_jpn,2,1,pol,polite,7.179,237,240,36.8,177.2,328.2,150.9,94.45,94.88,2.7,9.91,20.57,10.67,67.5,64.3,39.3,0.00899,0.00217,0.00415,0.0007,0.08223,0.07584,0.02606,2.79,-14.3,-20.4,15.9,0.1138,0.00899,0.00217,0.08223,0.02606
Japanese,F,epr,epr_jpn,2,2,cas,casual,5.69,232,236.6,29.3,168.1,303.1,135,94.16,94.64,2.22,8.99,19.2,10.2,68.8,63,40.1,0.00887,0.00226,0.00432,0.0006,0.08941,0.09753,0.02516,2.63,-15.1,-22.7,15.6,0.1022,0.00887,0.00226,0.08941,0.02516
Japanese,F,epr,epr_jpn,2,2,pol,polite,7.43,240.4,239.4,27.7,181.6,321.2,139.6,94.8,94.84,1.97,10.33,20.2,9.87,66.7,61.1,38.6,0.00919,0.00251,0.00494,0.0005,0.08969,0.09104,0.02975,4.77,-18,-22.2,15.8,0.123,0.00919,0.00251,0.08969,0.02975
Japanese,F,epr,epr_jpn,2,3,cas,casual,5.788,232.8,233.8,34.7,168.7,317.5,148.9,94.16,94.43,2.58,9.08,20,10.92,68.8,65.3,37.2,0.00751,0.00178,0.00345,0.0007,0.08834,0.07897,0.03122,2.82,-16.2,-22.3,16.6,0.0801,0.00751,0.00178,0.08834,0.03122
Japanese,F,epr,epr_jpn,2,3,pol,polite,7.977,253.1,252.4,41.8,174.4,379.2,204.9,95.56,95.76,2.89,9.63,23.08,13.45,68.8,65,40.9,0.00925,0.00232,0.0046,0.0007,0.08955,0.08016,0.03059,3.67,-16.5,-22,16,0.1094,0.00925,0.00232,0.08952,0.03058
Japanese,F,epr,epr_jpn,2,4,cas,casual,7.966,241,241.2,45.7,171.4,337.1,165.7,94.64,94.97,3.28,9.33,21.04,11.71,68.9,65,39.1,0.00995,0.0024,0.00435,0.0008,0.08813,0.09187,0.0252,0.61,-15.9,-22.4,16.9,0.0849,0.00995,0.0024,0.08813,0.0252
Japanese,F,epr,epr_jpn,2,4,pol,polite,9.16,245,248.3,41.8,171,368.1,197.1,94.98,95.47,3,9.34,22.53,13.19,67,61.6,39.3,0.01091,0.0028,0.00536,0.0008,0.09667,0.09029,0.0317,4.16,-17.4,-22.7,15.2,0.116,0.01091,0.0028,0.09669,0.03172
Japanese,F,epr,epr_jpn,2,5,cas,casual,6.669,247.3,244.8,40.2,174.9,351.2,176.3,95.18,95.23,2.81,9.68,21.75,12.07,69.3,66.2,39.5,0.00913,0.00245,0.00488,0.0007,0.08694,0.0947,0.02326,3.47,-15.6,-21.1,16.6,0.0881,0.00913,0.00245,0.08694,0.02326
Japanese,F,epr,epr_jpn,2,5,pol,polite,7.714,242.8,243.9,36,176.9,326.7,149.9,94.89,95.16,2.63,9.87,20.46,10.59,67.3,63.6,38.5,0.00997,0.00282,0.00533,0.0008,0.08183,0.08674,0.02351,0.21,-15.7,-20.8,15.6,0.117,0.00997,0.00282,0.08182,0.02352
Japanese,F,epr,epr_jpn,2,6,cas,casual,5.489,251.4,251.4,39.4,166.6,351.8,185.2,95.47,95.69,2.73,8.83,21.78,12.94,70.9,66.7,39.5,0.00874,0.00209,0.00383,0.0007,0.09404,0.09468,0.02709,-0.13,-16.3,-23.8,16.4,0.0896,0.00874,0.00209,0.09404,0.02709
Japanese,F,epr,epr_jpn,2,6,pol,polite,7.355,241.4,239.5,36.7,169.1,333,163.9,94.78,94.84,2.67,9.09,20.83,11.73,68.5,64.4,38.2,0.00984,0.00245,0.00429,0.0008,0.08385,0.08638,0.02624,0.98,-15.4,-23.1,15.1,0.1072,0.00984,0.00245,0.08385,0.02624
Japanese,F,epr,epr_jpn,2,7,cas,casual,6.534,237.2,238.2,31.8,173.3,362,188.7,94.53,94.76,2.32,9.52,22.27,12.75,68.2,64.4,39.2,0.00923,0.00222,0.00431,0.0006,0.08978,0.08402,0.02548,0.54,-15.8,-21.7,16.7,0.0999,0.00923,0.00222,0.08978,0.02548
Japanese,F,epr,epr_jpn,2,7,pol,polite,8.153,230.5,240,37.1,110.1,332.2,222.1,93.92,94.88,3.16,1.67,20.78,19.12,66.1,62.2,38.4,0.00828,0.00204,0.00347,0.0008,0.08188,0.08138,0.02523,2.22,-16.3,-22.5,15.6,0.1009,0.00828,0.00204,0.08195,0.02524
Japanese,F,epr,epr_jpn,2,8,cas,casual,7.946,231.4,228.1,41.5,165.1,344.2,179,93.98,94.01,3.08,8.69,21.4,12.71,68,62.9,40.5,0.01194,0.0032,0.00644,0.0008,0.08278,0.0789,0.0233,1.93,-15.6,-21.3,15.8,0.1109,0.01194,0.0032,0.08293,0.02336
Japanese,F,epr,epr_jpn,2,8,pol,polite,8.808,228.2,227.3,40.6,164.5,353.2,188.6,93.75,93.94,2.99,8.62,21.84,13.22,67.2,63.4,37.1,0.01094,0.0027,0.00524,0.0008,0.08701,0.09459,0.02199,4.29,-15.3,-23.2,16.1,0.1068,0.01094,0.0027,0.08705,0.02199
Japanese,F,epr,epr_jpn,2,9,cas,casual,7.426,241.5,240.7,39,171.1,391.6,220.4,94.78,94.94,2.72,9.35,23.63,14.29,68.8,64.5,39.5,0.00969,0.00271,0.00513,0.0008,0.09825,0.09037,0.03725,1.01,-15.7,-22.1,15.2,0.125,0.00969,0.00271,0.09817,0.03724
Japanese,F,epr,epr_jpn,2,9,pol,polite,7.723,253.2,252.5,48.7,138.1,394.9,256.9,95.47,95.76,3.52,5.58,23.78,18.2,68.3,62.7,39.6,0.00923,0.00236,0.00443,0.0006,0.09452,0.08519,0.04025,3.34,-17.3,-22.7,15,0.1205,0.00923,0.00236,0.09452,0.04025
Japanese,F,epr,epr_jpn,3,10,cas,casual,5.533,226.6,221.7,35.9,160.5,308.3,147.7,93.68,93.51,2.73,8.21,19.49,11.28,71.3,66,44.7,0.01087,0.00255,0.00501,0.0007,0.08798,0.08439,0.02268,3.48,-12.9,-19.9,16.3,0.0847,0.01087,0.00255,0.08798,0.02268
Japanese,F,epr,epr_jpn,3,10,pol,polite,6.706,231.8,235.2,30.5,177.3,286.9,109.5,94.13,94.54,2.33,9.92,18.24,8.32,70.5,65.8,42.6,0.01049,0.00273,0.00529,0.0006,0.07761,0.0792,0.01941,2.48,-15.3,-21.6,16.6,0.0863,0.01049,0.00273,0.07763,0.0194
Japanese,F,epr,epr_jpn,3,1,cas,casual,5.988,221.6,217.9,47.2,159.2,417.6,258.4,93.13,93.21,3.52,8.08,24.61,16.54,70.8,67,44,0.0107,0.00274,0.00466,0.001,0.09402,0.0945,0.02964,4.55,-12.6,-22.2,15.3,0.0932,0.0107,0.00274,0.094,0.02966
Japanese,F,epr,epr_jpn,3,1,pol,polite,7.236,223,227.5,38.2,157.1,367.1,210,93.35,93.96,3.02,7.82,22.51,14.7,70.1,67,35.5,0.00963,0.00231,0.00404,0.0009,0.08572,0.08893,0.02202,5,-15.1,-19.6,16.3,0.0945,0.00963,0.00231,0.08572,0.02202
Japanese,F,epr,epr_jpn,3,2,cas,casual,5.977,230.1,229.5,46.4,159,337.3,178.3,93.8,94.11,3.54,8.04,21.04,13,71.5,68,39.7,0.00942,0.00233,0.0043,0.0009,0.09829,0.0913,0.02705,3.24,-13,-22.4,16.4,0.1159,0.00942,0.00233,0.09829,0.02705
Japanese,F,epr,epr_jpn,3,2,pol,polite,7.245,235.6,243.1,38.7,165.3,322,156.7,94.32,95.11,2.95,8.71,20.25,11.53,71.1,66.2,42.4,0.00923,0.00229,0.00454,0.0007,0.08902,0.09861,0.02337,2.27,-15.3,-19.7,16.4,0.103,0.00923,0.00229,0.089,0.02337
Japanese,F,epr,epr_jpn,3,3,cas,casual,6.415,223.5,222.3,32.1,168.2,289.9,121.7,93.47,93.56,2.51,9,18.43,9.43,71.3,68.2,38,0.00849,0.00202,0.00384,0.0007,0.07992,0.0801,0.02623,3.06,-14.9,-21.6,16.5,0.0693,0.00849,0.00202,0.07992,0.02623
Japanese,F,epr,epr_jpn,3,3,pol,polite,8.425,217.7,214.4,34.3,154.9,352.5,197.6,92.98,92.93,2.66,7.58,21.81,14.24,69.5,64.8,40.9,0.01008,0.00288,0.00527,0.0009,0.08464,0.08454,0.0257,3,-16.8,-20,15.7,0.104,0.01011,0.00289,0.08464,0.0257
Japanese,F,epr,epr_jpn,3,4,cas,casual,9.002,233.2,235.2,41.3,154.1,314.7,160.7,94.1,94.53,3.15,7.48,19.84,12.36,72,67.9,38.8,0.01175,0.00311,0.005,0.0011,0.08268,0.07307,0.02147,1.76,-14,-19.7,16.3,0.0958,0.01175,0.00311,0.08268,0.02147
Japanese,F,epr,epr_jpn,3,4,pol,polite,10.361,228.3,230.2,39.2,156.9,320.7,163.8,93.75,94.16,3.06,7.8,20.17,12.37,69.4,64.4,39,0.01011,0.00277,0.00533,0.0008,0.07355,0.06695,0.02164,3.51,-15.8,-21,16.8,0.1145,0.01011,0.00277,0.07355,0.02164
Japanese,F,epr,epr_jpn,3,5,cas,casual,7.265,228.5,225.1,35.4,158.7,307.5,148.8,93.82,93.77,2.73,8,19.44,11.45,70.9,68.3,36.5,0.00783,0.00202,0.00382,0.0008,0.07944,0.07945,0.02262,4.54,-14,-20.6,17.8,0.0737,0.00783,0.00202,0.07944,0.02262
Japanese,F,epr,epr_jpn,3,5,pol,polite,8.179,227.6,232.2,32.8,164.6,298.2,133.6,93.78,94.31,2.57,8.63,18.92,10.29,69.9,66.9,36.3,0.01007,0.00267,0.00464,0.0009,0.07919,0.084,0.02134,3.95,-16,-20.6,17.1,0.0899,0.01007,0.00267,0.07919,0.02134
Japanese,F,epr,epr_jpn,3,6,cas,casual,7.601,212.3,206.9,33.7,155.3,294.2,138.9,92.55,92.31,2.69,7.62,18.68,11.06,70.4,65.9,41.9,0.01113,0.00263,0.00508,0.001,0.08007,0.07814,0.02256,2.43,-13.5,-20.7,16,0.0933,0.01076,0.00265,0.08002,0.02254
Japanese,F,epr,epr_jpn,3,6,pol,polite,8.58,214.4,204.9,37.2,159.4,326.7,167.3,92.68,92.15,2.9,8.07,20.49,12.43,70.1,65.7,41.7,0.01068,0.00282,0.0045,0.0009,0.08133,0.07868,0.02276,1.23,-15,-20.7,16,0.0954,0.01068,0.00282,0.08133,0.02276
Japanese,F,epr,epr_jpn,3,7,cas,casual,7.294,229,221.9,36.7,166.1,320,153.8,93.85,93.52,2.78,8.83,20.13,11.3,71.4,66.8,40.3,0.0098,0.00251,0.00504,0.0007,0.07696,0.07649,0.01784,1.76,-14.4,-21.3,16.9,0.0894,0.0098,0.00251,0.07696,0.01784
Japanese,F,epr,epr_jpn,3,7,pol,polite,8.382,227.6,235.3,34.5,158.3,299.9,141.6,93.76,94.54,2.72,7.96,19.02,11.05,70.9,67,38.4,0.01033,0.00267,0.0046,0.0009,0.07183,0.06536,0.01794,2.05,-16.3,-20.3,16.7,0.1084,0.01033,0.00267,0.07183,0.01794
Japanese,F,epr,epr_jpn,3,8,cas,casual,8.392,219.9,216.6,39.3,157.6,330.1,172.4,93.1,93.11,3.05,7.89,20.67,12.79,71.9,67.7,42,0.01008,0.00244,0.00475,0.0009,0.08151,0.08222,0.02065,2,-13.5,-20.8,16,0.0893,0.01008,0.00244,0.08151,0.02065
Japanese,F,epr,epr_jpn,3,8,pol,polite,9.665,225.3,216.4,46.8,154.6,365.5,210.9,93.42,93.09,3.54,7.54,22.43,14.89,71,66.7,40.8,0.01082,0.00266,0.00504,0.0009,0.08737,0.08678,0.02299,4.28,-14.3,-19.8,16.1,0.097,0.01082,0.00266,0.08737,0.02299
Japanese,F,epr,epr_jpn,3,9,cas,casual,8.157,219.3,217.9,34,167.1,313.2,146.1,93.11,93.21,2.66,8.89,19.76,10.88,69.8,64.4,40.1,0.00843,0.00228,0.00425,0.0007,0.07697,0.07262,0.02334,3.67,-14.1,-20,16.3,0.0982,0.00843,0.00228,0.07697,0.02334
Japanese,F,epr,epr_jpn,3,9,pol,polite,8.793,215.2,209.8,35.5,149,331.7,182.6,92.77,92.56,2.83,6.91,20.76,13.85,68.7,62.7,39,0.01023,0.00283,0.00481,0.0008,0.07289,0.06556,0.02257,3.7,-16.3,-21.3,16.2,0.1109,0.01023,0.00283,0.07282,0.02256
Japanese,F,epr,epr_jpn,5,10,cas,casual,5.519,222.7,225.8,24,175.1,282.1,107,93.49,93.83,1.88,9.7,17.95,8.26,71.5,69.4,42.5,0.00844,0.00199,0.00328,0.0007,0.06531,0.05801,0.02115,6.58,-16.9,-25.1,19,0.0798,0.00844,0.00199,0.06531,0.02115
Japanese,F,epr,epr_jpn,5,10,pol,polite,6.494,236.7,236.7,31.4,165,299.8,134.7,94.49,94.64,2.35,8.68,19.01,10.33,72.3,68.4,43.1,0.00912,0.00196,0.00381,0.0009,0.07189,0.06735,0.02115,3.02,-16.3,-26,17.6,0.0851,0.00912,0.00196,0.07189,0.02115
Japanese,F,epr,epr_jpn,5,1,cas,casual,6.113,221.5,220.8,24.5,168.5,339.2,170.7,93.39,93.44,1.9,9.03,21.14,12.11,73,72.2,40.1,0.00569,0.00126,0.00242,0.0006,0.06186,0.06296,0.02339,6.13,-14.4,-25.2,18.7,0.0694,0.00569,0.00126,0.06186,0.02339
Japanese,F,epr,epr_jpn,5,1,pol,polite,6.886,227.5,223.9,30.8,165.4,299.5,134.2,93.8,93.68,2.33,8.71,18.99,10.28,72.2,70.2,40.2,0.00877,0.00233,0.0042,0.0007,0.06882,0.06169,0.02637,6.4,-15.7,-24.2,17.8,0.0974,0.00877,0.00233,0.06886,0.02638
Japanese,F,epr,epr_jpn,5,2,cas,casual,6.315,235.3,243.6,28.9,171.8,308.8,137,94.4,95.14,2.22,9.36,19.52,10.16,72.8,70.7,41.7,0.00739,0.00207,0.00397,0.0006,0.07664,0.06711,0.02809,6.3,-16.3,-24.7,18.1,0.0839,0.00739,0.00207,0.07664,0.02809
Japanese,F,epr,epr_jpn,5,2,pol,polite,7.121,229.1,240.1,33.4,87.8,297.8,210,93.84,94.89,3.12,-2.25,18.89,21.15,71.7,68,42.9,0.00971,0.00277,0.00418,0.001,0.0655,0.05866,0.02139,3.75,-17.7,-23.1,17.6,0.1044,0.00971,0.00277,0.06551,0.02139
